original_name,tiba_name,tiba_slug,category,emporium_id,image_filename,material,origin,dimensions,thickness,description
Aurora Barealis,Aurora Boreale,aurora-boreale,Quartzite,146,,Quartzite,Brazil,"+/- 3,420 x 1,980 cm",2 cm,A spectacular quartzite with shimmering colour shifts evoking the Northern Lights. Nature's most magical light show frozen in stone.
Giallo Aurora,Aurora Gialla,aurora-gialla,Quartzite,145,,Quartzite,Brazil,"+/- 2,790 x 1,686 cm",2cm,A warm golden quartzite with the radiant glow of dawn breaking over the horizon. Morning light made permanent in stone.
Red Tempest,Tempesta Rossa,tempesta-rossa,Quartzite,43,,Quartzite,Brazil,,,A dramatic red quartzite with swirling tempestuous patterns in crimson and burgundy. Passionate intensity in the hardest of natural stones.
Deep Blue,Blu Profondo,blu-profondo,Quartzite,37,,Quartzite,Brazil,"2,980 x 1,940 cm",2cm,A richly saturated blue quartzite of extraordinary depth and intensity. The deepest ocean rendered in enduring stone.
Fusion,Fusione Primordiale,fusione-primordiale,Quartzite,38,,Quartzite,Brazil,1222 x 1000 cm,,A dynamic quartzite where multiple mineral elements fuse into dramatic visual compositions. Geological alchemy at its most expressive.
Vibranium,Vibranio Eterno,vibranio-eterno,Quartzite,160,,Quartzite,Brazil,,,A powerful quartzite with extraordinary visual intensity and crystalline energy. Virtually indestructible with otherworldly presence.
New Portoro Gold,Portoro Nuovo Dorato,portoro-nuovo-dorato,Quartzite,40,,Quartzite,Brazil,1222 x 1000 cm,,A golden quartzite with dramatic black and gold patterning inspired by the legendary Portoro. New-world exuberance with old-world reference.
Platinus,Platino Minerale,platino-minerale,Quartzite,41,,Quartzite,Brazil,1222 x 1000 cm,,A cool silvery quartzite with platinum-like metallic undertones. Precious metal beauty with the permanence of natural stone.
Elite Brown Leather,Elite Bruno Cuoio,elite-bruno-cuoio,Quartzite,42,,Quartzite,Brazil,1222 x 1000 cm,,A premium brown quartzite with leathered finish creating rich tactile warmth. Where stone becomes as inviting as aged leather.
Zurich,Zurigo Minerale,zurigo-minerale,Quartzite,46,,Quartzite,Brazil,1222 x 1000 cm,,A refined quartzite with Swiss precision in its mineral composition. Clean and dependable with understated alpine elegance.
Sequoia Brown Leather,Sequoia Cuoio,sequoia-cuoio,Quartzite,44,,Quartzite,Brazil,,,A warm brown quartzite with leathered texture evoking ancient redwood forests. Timeless as the trees that inspire its name.
Ice Age Onyx,Glaciale Onice,glaciale-onice,Onyx,337,,Onyx,Turkey,,,A translucent onyx with icy white and grey tones evoking prehistoric glacial landscapes. Ethereal and luminous when backlit.
Himalayan Onyx,Himalaya Onice,himalaya-onice,Onyx,361,,Onyx,Pakistan,± 311 x 136cm,± 2cm,A warm translucent onyx with honey and amber tones from the foothills of the Himalayas. Sacred mountain light captured in stone.
Alabaster Onyx,Alabastro Onice,alabastro-onice,Onyx,338,,Onyx,Turkey,,,A creamy white onyx with alabaster-like translucency and soft warm veining. Ancient Egyptian luxury in luminous stone.
White Jade Onyx,Giada Bianca Onice,giada-bianca-onice,Onyx,134,,Onyx,Pakistan,"± 2,280 x 1,630 cm",± 2cm,A luminous white onyx with jade-like translucency and subtle green undertones. Where Eastern mysticism meets Western luxury.
Sunset Blue Onyx,Tramonto Azzurro Onice,tramonto-azzurro-onice,Onyx,225,,Onyx,Iran,"+/- 2,490 X 1,730 cm",1.88 - 2 cm,A rare onyx blending sunset oranges with twilight blues in translucent layers. The magic hour captured in luminous stone.
White Blossom Onyx,Fiore Bianco Onice,fiore-bianco-onice,Onyx,50,,Onyx,Turkey,"± 2,360 x 1,420 cm",± 2cm,A delicate white onyx with soft petal-like formations in cream and pale pink. Floral beauty frozen in translucent stone.
Silk Road Traonix,Via della Seta Onice,via-della-seta-onice,Onyx,288,,Onyx,Iran,"+/- 2,650 x 1,52 cm",2 cm,A warm-toned onyx with flowing silk-like veining in honey and amber. Ancient trade route beauty in luminous stone form.
Orange Onyx,Arancio Luminoso,arancio-luminoso,Onyx,130,,Onyx,Pakistan,"± 2,720 x 1,010 cm",± 2cm,A vivid orange onyx with brilliant warm tones that glow with inner fire when backlit. Pure citrus warmth in translucent stone.
Luxious,Lussuoso Primo,lussuoso-primo,Onyx,301,,Onyx,Turkey,"± 2,560 x 1,600 cm",± 2cm,An extraordinarily luxurious onyx with rich honey and amber translucency. The embodiment of opulence in natural stone.
Multicolor Onyx,Prisma Onice,prisma-onice,Onyx,220,,Onyx,Pakistan,,,A spectacular onyx displaying multiple colours in translucent layers like a geological prism. Every angle reveals new chromatic beauty.
Rainbow Onyx,Arcobaleno Onice,arcobaleno-onice,Onyx,315,,Onyx,Pakistan,"+/- 2,81 x 150 cm",2 cm,A vibrant onyx with rainbow-like colour bands in warm translucent layers. Nature's full spectrum rendered in luminous stone.
Travertine Onyx,Onice Travertino,onice-travertino,Onyx,166,,Onyx,Turkey,"+/- 2,070 x 1,380 cm",2cm,A warm onyx with travertine-like banding in honey and cream tones. Combines the translucency of onyx with travertine's organic warmth.
Luxious 2,Lussuoso Secondo,lussuoso-secondo,Onyx,47,,Onyx,Turkey,"± 2,840 x 1,440 cm",± 2cm,A second selection of supreme luxury onyx with deeper amber tones and richer translucency. Unapologetic opulence in stone.
Green Blossom Onyx,Fiore Verde Onice,fiore-verde-onice,Onyx,128,,Onyx,Pakistan,"± 2,720 x 1,980 cm",± 2cm,A verdant onyx with green translucent layers like sunlight through spring leaves. Fresh and alive with botanical luminosity.
Coffee Onyx,Caffè Onice,caffe-onice,Onyx,127,,Onyx,Pakistan,"±1,870 x 1,630 cm",± 2cm,A rich brown onyx with warm coffee tones and honey translucency. The depth of espresso in luminous stone.
Blue Velvet Onyx,Velluto Blu Onice,velluto-blu-onice,Onyx,270,,Onyx,Iran,"+/- 2,140 x 1,500 cm","1,8 cm",A rare blue onyx with velvet-like depth and soft luminous quality. Among the most coveted stones in the world.
Blue Water Onyx,Acqua Blu Onice,acqua-blu-onice,Onyx,126,,Onyx,Iran,,,A translucent blue onyx with the clarity of Caribbean waters. Liquid beauty suspended in crystalline stone.
Green Jade Onyx,Giada Verde Onice,giada-verde-onice,Onyx,129,,Onyx,Pakistan,,,A rich green onyx with jade-like translucency and deep emerald tones. Eastern serenity in luminous Western form.
Wooden Onyx,Legno Onice,legno-onice,Onyx,274,,Onyx,Pakistan,"+/- 1,880 X 1,780 cm","1,8cm",A warm brown onyx with wood-grain patterns in amber and honey translucent layers. Where forest and crystal converge.
Perla Venata Onyx,Perla Venata Onice,perla-venata-onice,Onyx,131,,Onyx,Turkey,,,A pearlescent onyx with elegant veining in cream and soft grey tones. Understated luxury with luminous inner glow.
Tiger Onyx,Tigre Onice,tigre-onice,Onyx,133,,Onyx,Pakistan,"± 2,030 x 1,120 cm","± 1,8 - 2 cm",A bold onyx with dramatic amber and brown striping like tiger fur. Fierce beauty with translucent intensity.
Serenity Onyx,Serenità Onice,serenita-onice,Onyx,132,,Onyx,Turkey,,,A calm onyx with peaceful cream and soft grey translucent layers. Meditative beauty that quiets the mind.
White Onyx,Bianco Onice,bianco-onice,Onyx,135,,Onyx,Turkey,"± 2,380 x 1,590 cm",,A pristine white onyx of remarkable purity and soft luminous translucency. The essence of light made solid in stone.
Travertine Blue,Travertino Azzurro,travertino-azzurro,Travertine,262,,Travertine,Turkey,"± 2,760 x 1,610 cm",± 2cm,A rare blue travertine with soft aquatic tones and characteristic texture. Where ancient thermal waters left their most beautiful mark.
Travertine Silver,Travertino Argento,travertino-argento,Travertine,167,,Travertine,Turkey,"± 2,680 x 1,300 cm",± 2cm,A cool silver travertine with elegant grey tones and subtle surface texture. Modern minimalism in one of the world's oldest building stones.
Travertine Romano Classic,Travertino Romano Classico,travertino-romano-classico,Travertine,317,,Travertine,Italy,± 251 x 161 cm,± 2cm,The quintessential Roman travertine with warm ivory tones and characteristic pitting. The stone that built the Colosseum brought to modern interiors.
Travertine Light Beige,Travertino Beige Chiaro,travertino-beige-chiaro,Travertine,54,,Travertine,Turkey,"± 2,400 x 1,780 cm",± 2cm,A soft beige travertine with gentle warm tones and natural surface character. Timeless Mediterranean beauty in its purest form.
Travertine Romano Classico,Travertino della Capitale,travertino-della-capitale,Travertine,57,,Travertine,Italy,"+/- 3,180 x 1,380 cm",2cm,A classic Italian travertine from the quarries that supplied Imperial Rome. Warm ivory with the weight of twenty centuries of architectural history.
White Travertine,Travertino Neve,travertino-neve,Travertine,359,,Travertine,Turkey,,,A pristine white travertine of remarkable lightness and purity. Clean and bright with the organic texture that defines travertine.
Travertine Classic Grey,Travertino Grigio Classico,travertino-grigio-classico,Travertine,330,,Travertine,Turkey,± 270 x 196 cm,2cm,A distinguished grey travertine with classic surface character and cool sophisticated tone. Contemporary elegance rooted in ancient stone traditions.
Travertine Mystic Grey,Travertino Mistico,travertino-mistico,Travertine,165,,Travertine,Turkey,"± 2,990 x 1,420 cm",± 2cm,A mysterious grey travertine with moody tonal variations and atmospheric depth. Where ancient geology meets modern mystique.
Travertine Red,Travertino Rosso,travertino-rosso,Travertine,53,,Travertine,Iran,,± 2cm,A rare red travertine with warm terracotta and crimson tones. Ancient Persian thermal deposits yielding stone of passionate warmth.
Serpe Walnut Kembang,Serpe Noce Fiorito,serpe-noce-fiorito,Limestone,312,Serpe_Walnut_Marmer.jpg,Limestone,Indonesia,,± 2cm,A distinctive limestone with flowing walnut-brown veining and floral patterns. Indonesian craftsmanship in natural geological form.
Maranello Beige Limestone,Maranello Calcare Beige,maranello-calcare-beige,Limestone,331,Maranello_Beige.jpg,Limestone,Indonesia,"± 3,160 x 1,590 cm",± 2cm,A warm beige limestone with subtle texture and consistent colouring. Understated Italian-inspired elegance in a durable sedimentary stone.
Loen Grey,Loen Grigio,loen-grigio,Limestone,311,000.jpeg,Limestone,Indonesia,"± 2,870 x 1,600 cm",± 2cm,A refined grey limestone with clean contemporary character. Cool Scandinavian minimalism expressed in warm tropical stone.
Paloma,Paloma Calcare,paloma-calcare,Limestone,296,Paloma_Lime_Stone.jpg,Limestone,Indonesia,"± 2,920 x 1,680 cm",± 2cm,A dove-grey limestone with soft warm undertones and gentle texture. Peaceful and contemplative like its dove namesake.
Moca Cream,Moca Crema,moca-crema,Limestone,236,Mocca_Cream_edt.jpg,Limestone,Portugal,"± 3,170 x 1,690 cm",2cm,A warm cream limestone with fine fossil texture and consistent golden tone. Portuguese coastal beauty in elegant sedimentary form.
Serpe Walnut,Serpe Noce,serpe-noce,Sandstone,125,Serpe_Welnut_edt.jpg,Sandstone,Indonesia,"+/- 2,520 x 1,340 cm",2cm,A warm walnut-toned sandstone with sinuous veining and natural texture. Organic warmth with the character of aged wood grain.
Laurent White,Laurent Bianco,laurent-bianco,Neolith,358,Laurent_White.png,Neolith,,,,A refined white sintered stone with elegant grey veining inspired by classic marble aesthetics. Contemporary engineering meets timeless design.
Eagle,Aquila Imperiale,aquila-imperiale,Neolith,299,Eagle_EGC001.jpg,Neolith,,"± 2,600 x 1,200 cm",± 1cm,A bold sintered stone with dramatic veining patterns soaring across a warm base. Engineered precision with the spirit of natural stone.
Paviya White,Pavia Bianca,pavia-bianca,Neolith,298,Paviya_White_blok_PW001.jpg,Neolith,,"± 2,600 x 1,200 cm",± 1cm,A clean white sintered stone with subtle veining inspired by Italian marble traditions. Modern technology honouring ancient stone craft.
Peacock,Pavone Splendido,pavone-splendido,Neolith,297,peacock.jpg,Neolith,,"± 3,200 x 1,600 cm",± 1cm,A vibrant sintered stone with rich colour play reminiscent of peacock plumage. Bold iridescent beauty in an engineered format.
